graph_name,vertices,edges,edge_density,degree_variance,clustering_coefficient,k,bronKerbosch_time,bronKerbosch_max_found,bronKerbosch_success,branch_and_bound_time,branch_and_bound_max_found,branch_and_bound_success,simulated_annealing_time,simulated_annealing_max_found,simulated_annealing_success,genetic_alg_time,genetic_alg_max_found,genetic_alg_success
v25/0,25,176,0.5866666666666667,5.6336,0.2008695652173913,7,0.0,7,1.0,0.0009999275207519531,7,1.0,0.20903849601745605,7,1.0,0.06383881568908692,7,1.0
v25/1,25,226,0.7533333333333333,4.433600000000003,0.42391304347826086,9,0.0019998550415039062,9,1.0,0.002000570297241211,9,1.0,0.1703179359436035,9,1.0,0.06544365882873535,9,1.0
v25/2,25,270,0.9,2.9199999999999964,0.7269565217391304,14,0.0010006427764892578,14,1.0,0.002997875213623047,14,1.0,0.1761025905609131,14,1.0,0.09029841423034668,14,1.0
v25/3,25,35,0.11666666666666667,3.8000000000000025,0.0026086956521739132,3,0.0,3,1.0,0.0,3,1.0,0.16365301609039307,3,1.0,0.0009092569351196289,3,1.0
v25/4,25,260,0.8666666666666667,3.2399999999999984,0.6478260869565218,12,0.0010006427764892578,12,1.0,0.0019998550415039062,12,1.0,0.1728417158126831,12,1.0,0.08142673969268799,12,1.0
v25/5,25,284,0.9466666666666667,1.9216000000000029,0.8469565217391304,16,0.0,16,1.0,0.0029993057250976562,16,1.0,0.18027820587158203,16,1.0,0.09088201522827148,16,1.0
v25/6,25,120,0.4,7.6400000000000015,0.06913043478260869,6,0.0,6,1.0,0.0010004043579101562,6,1.0,0.22590250968933107,6,1.0,0.04860000610351563,6,1.0
v25/7,25,264,0.88,3.585599999999999,0.681304347826087,13,0.0009996891021728516,13,1.0,0.0009996891021728516,13,1.0,0.2124842405319214,13,1.0,0.09896974563598633,13,1.0
v25/8,25,88,0.29333333333333333,7.518400000000001,0.027391304347826086,4,0.0,4,1.0,0.0,4,1.0,0.13960473537445067,4,1.0,0.0053999900817871095,4,1.0
v25/9,25,158,0.5266666666666666,5.310399999999999,0.14521739130434783,6,0.0,6,1.0,0.0,6,1.0,0.22935860157012938,6,1.0,0.04490118026733399,6,1.0
v25/10,25,236,0.7866666666666666,4.385600000000002,0.4817391304347826,10,0.0010001659393310547,10,1.0,0.0010018348693847656,10,1.0,0.301616907119751,10,1.0,0.0877000093460083,10,1.0
