graph_name,vertices,edges,edge_density,degree_variance,clustering_coefficient,k,bronKerbosch_time,bronKerbosch_max_found,bronKerbosch_success,branch_and_bound_time,branch_and_bound_max_found,branch_and_bound_success,genetic_alg_time,genetic_alg_max_found,genetic_alg_success,simulated_annealing_time,simulated_annealing_max_found,simulated_annealing_success
v60/0,60,1001,0.5655367231638418,12.832222222222224,0.18036236119228521,10,0.01084589958190918,10,1.0,0.013592243194580078,10,1.0,0.1760552406311035,10,1.0,0.14073445796966552,10,1.0
v60/1,60,1376,0.7774011299435029,10.648888888888884,0.46987142022209233,16,0.1303849220275879,16,1.0,0.05753517150878906,16,1.0,0.281994104385376,16,1.0,1.4075619220733642,16,1.0
v60/2,60,1539,0.8694915254237288,7.210000000000006,0.6572472238457042,21,0.7016539573669434,21,1.0,0.29718923568725586,21,1.0,0.30355029106140136,21,1.0,0.5269372463226318,21,1.0
v60/3,60,1474,0.8327683615819209,10.182222222222224,0.5783459964932788,18,0.4032928943634033,18,1.0,0.18726205825805664,18,1.0,0.23854353427886962,18,1.0,0.31348304748535155,18,1.0
v60/4,60,724,0.4090395480225989,12.182222222222224,0.06651081239041497,7,0.002563953399658203,7,1.0,0.005620002746582031,7,1.0,0.22700607776641846,7,1.0,0.6791398048400878,7,1.0
v60/5,60,647,0.3655367231638418,13.178888888888894,0.04734073641145529,6,0.0018281936645507812,6,1.0,0.00487208366394043,6,1.0,0.16613855361938476,6,1.0,0.04997661113739014,6,1.0
v60/6,60,1636,0.9242937853107345,5.448888888888888,0.7899181765049679,27,1.0916268825531006,27,1.0,0.37210798263549805,27,1.0,0.20959415435791015,27,1.0,0.03568599224090576,27,1.0
v60/7,60,1605,0.9067796610169492,7.15,0.7462594973699591,26,0.8407080173492432,26,1.0,0.13332772254943848,26,1.0,0.3065845727920532,26,1.0,2.248448395729065,26,1.0
v60/8,60,853,0.48192090395480225,16.07888888888889,0.11201052016364699,8,0.005400896072387695,8,1.0,0.008620977401733398,8,1.0,0.2505523920059204,8,1.0,0.47807159423828127,8,1.0
v60/9,60,295,0.16666666666666666,8.372222222222216,0.004529514903565166,4,0.0004029273986816406,4,1.0,0.0019028186798095703,4,1.0,0.16998345851898194,4,1.0,0.010491704940795899,4,1.0
v60/10,60,738,0.41694915254237286,14.273333333333335,0.07127410870835768,7,0.0027070045471191406,7,1.0,0.006822824478149414,7,1.0,0.21826367378234862,7,1.0,0.6339746475219726,7,1.0
v60/11,60,484,0.2734463276836158,15.848888888888888,0.021507890122735244,5,0.0010030269622802734,5,1.0,0.0032923221588134766,5,1.0,0.14475080966949463,5,1.0,0.02692677974700928,5,1.0
v60/12,60,1197,0.676271186440678,19.223333333333333,0.31221507890122735,12,0.039011240005493164,12,1.0,0.038411855697631836,12,1.0,0.24489517211914064,12,1.0,0.7002252101898193,12,1.0
v60/13,60,1766,0.9977401129943503,1.1488888888888895,0.993249561659848,57,0.0009050369262695312,57,1.0,0.049653053283691406,57,1.0,0.056755995750427245,57,1.0,5.245208740234375e-07,57,1.0
v60/14,60,1182,0.6677966101694915,14.373333333333335,0.29777907656341324,11,0.03582477569580078,11,1.0,0.04215502738952637,11,1.0,0.24585039615631105,11,1.0,0.7669996976852417,11,1.0
v60/15,60,1762,0.9954802259887006,1.2622222222222192,0.9864991233196961,54,0.0010712146759033203,54,1.0,0.04382610321044922,54,1.0,0.08053627014160156,54,1.0,0.008115148544311524,54,1.0
v60/16,60,1746,0.9864406779661017,1.659999999999996,0.959760374050263,44,0.06233334541320801,44,1.0,0.0321500301361084,44,1.0,0.11268739700317383,44,1.0,0.015863037109375,44,1.0
v60/17,60,1109,0.6265536723163841,14.265555555555549,0.2444769140853302,9,0.021816015243530273,9,1.0,0.050024986267089844,9,1.0,0.15542569160461425,9,1.0,0.051883363723754884,9,1.0
v60/18,60,1760,0.9943502824858758,1.3555555555555616,0.983167738164816,53,0.0011661052703857422,53,1.0,0.04286527633666992,53,1.0,0.10053277015686035,53,1.0,0.005594110488891602,53,1.0
v60/19,60,1704,0.9627118644067797,2.8600000000000048,0.8920514319111631,34,1.6986780166625977,34,1.0,0.14594101905822754,34,1.0,0.2123697280883789,34,1.0,0.073760986328125,34,1.0
v60/20,60,1232,0.696045197740113,9.962222222222213,0.3357685563997662,11,0.05134224891662598,11,1.0,0.08091592788696289,11,1.0,0.1978853702545166,11,1.0,0.1519561767578125,11,1.0
v60/21,60,1767,0.9983050847457627,1.0900000000000023,0.9949152542372881,57,0.0009169578552246094,57,1.0,0.04946303367614746,57,1.0,0.023467469215393066,57,1.0,3.0994415283203126e-07,57,1.0
v60/22,60,548,0.3096045197740113,15.762222222222226,0.030128579777907658,6,0.0012619495391845703,6,1.0,0.003681182861328125,6,1.0,0.257442831993103,6,1.0,0.47577056884765623,6,1.0
v60/23,60,678,0.38305084745762713,17.406666666666663,0.05777323202805377,6,0.00232696533203125,6,1.0,0.007547140121459961,6,1.0,0.13441863059997558,6,1.0,0.014854645729064942,6,1.0
v60/24,60,998,0.5638418079096045,15.095555555555556,0.17890122735242547,9,0.011562108993530273,9,1.0,0.017834901809692383,9,1.0,0.25507938861846924,9,1.0,0.47787864208221437,9,1.0
v60/25,60,1586,0.896045197740113,6.282222222222221,0.7193454120397429,23,1.454482078552246,23,1.0,0.29946231842041016,23,1.0,0.3777618885040283,23,1.0,3.6194127559661866,23,0.8
v60/26,60,1330,0.751412429378531,13.922222222222214,0.4255698421975453,14,0.11551785469055176,14,1.0,0.07511615753173828,14,1.0,0.25444579124450684,14,1.0,0.6856656789779663,14,1.0
v60/27,60,1688,0.9536723163841808,3.3955555555555597,0.8672121566335477,32,1.6341009140014648,32,1.0,0.16607093811035156,32,1.0,0.30175659656524656,32,1.0,0.7142240285873414,32,1.0
v60/28,60,1731,0.9779661016949153,2.14333333333333,0.9352425482174167,41,0.23177194595336914,41,1.0,0.030859947204589844,41,1.0,0.20128223896026612,41,1.0,0.029282307624816893,41,1.0
v60/29,60,1292,0.7299435028248588,14.162222222222216,0.3897720631209819,14,0.06695199012756348,14,1.0,0.06726908683776855,14,1.0,0.28647456169128416,14,1.0,1.0947489023208619,14,1.0
v60/30,60,1466,0.8282485875706215,12.54888888888889,0.5701344243132671,17,0.4240589141845703,17,1.0,0.4056859016418457,17,1.0,0.23023569583892822,17,1.0,0.09465391635894775,17,1.0
v60/31,60,192,0.10847457627118644,5.873333333333334,0.0010520163646990065,3,0.00024080276489257812,3,1.0,0.0009551048278808594,3,1.0,0.07856552600860596,3,1.0,0.0021522998809814452,3,1.0
v60/32,60,1670,0.943502824858757,3.655555555555558,0.8394213909994156,31,1.9987549781799316,31,1.0,0.3522641658782959,31,1.0,0.21441519260406494,31,1.0,0.05598206520080566,31,1.0
v60/33,60,1638,0.9254237288135593,5.873333333333335,0.7931911163062536,28,0.8119211196899414,28,1.0,0.6441421508789062,28,1.0,0.17446467876434327,28,1.0,0.0412524938583374,28,1.0
v60/34,60,1727,0.9757062146892655,2.5122222222222126,0.9289012273524255,40,0.5126388072967529,40,1.0,0.0724799633026123,40,1.0,0.19856226444244385,40,1.0,0.03708682060241699,40,1.0
v60/35,60,1713,0.9677966101694915,2.556666666666665,0.9062244301578024,37,0.5882539749145508,37,1.0,0.08645224571228027,37,1.0,0.18751771450042726,37,1.0,0.044254207611083986,37,1.0
v60/36,60,1573,0.8887005649717514,6.545555555555557,0.7019579193454121,24,0.8286819458007812,24,1.0,0.25258302688598633,24,1.0,0.23926563262939454,24,1.0,0.205025315284729,24,1.0
v60/37,60,625,0.3531073446327684,18.005555555555556,0.04468147282291058,7,0.0017919540405273438,7,1.0,0.0037431716918945312,7,1.0,0.22041733264923097,7,1.0,0.4489481449127197,7,1.0
v60/38,60,430,0.24293785310734464,13.222222222222225,0.015078901227352426,5,0.0008039474487304688,5,1.0,0.0025720596313476562,5,1.0,0.1568016767501831,5,1.0,0.053842997550964354,5,1.0
v60/39,60,697,0.39378531073446327,9.91222222222223,0.05897136177673875,6,0.0023317337036132812,6,1.0,0.0071260929107666016,6,1.0,0.16543807983398437,6,1.0,0.09051501750946045,6,1.0
v60/40,60,1618,0.9141242937853107,5.962222222222228,0.7642606662770309,27,1.1699609756469727,27,1.0,0.14701175689697266,27,1.0,0.23203983306884765,27,1.0,0.13073177337646485,27,1.0
v60/41,60,1305,0.7372881355932204,11.516666666666667,0.4010812390414962,14,0.09241914749145508,14,1.0,0.06751012802124023,14,1.0,0.33116302490234373,14,1.0,2.8983171463012694,14,0.9
v60/42,60,96,0.05423728813559322,3.5266666666666655,0.0001168907071887785,3,0.00012993812561035156,3,1.0,0.0003771781921386719,3,1.0,0.1380479335784912,3,1.0,0.013416314125061035,3,1.0
v60/43,60,1580,0.8926553672316384,5.522222222222224,0.7103448275862069,22,1.4427411556243896,22,1.0,0.35994911193847656,22,1.0,0.3032070159912109,22,1.0,0.9241026401519775,22,1.0
v60/44,60,1650,0.9322033898305084,4.033333333333333,0.8094681472822911,27,2.261003017425537,27,1.0,0.22521066665649414,27,1.0,0.23366878032684327,27,1.0,0.16744849681854249,27,1.0
v60/45,60,1658,0.9367231638418079,4.928888888888895,0.8222969023962595,31,1.1167659759521484,31,1.0,0.1326770782470703,31,1.0,0.25223846435546876,31,1.0,0.14594478607177735,31,1.0
v60/46,60,1621,0.915819209039548,5.032222222222225,0.7677673874926944,25,2.161273241043091,25,1.0,1.22800612449646,25,1.0,0.36904995441436766,25,1.0,2.0791383266448973,25,1.0
v60/47,60,1365,0.7711864406779662,9.25,0.456604324956166,14,0.14260411262512207,14,1.0,0.12348389625549316,14,1.0,0.26912288665771483,14,1.0,0.6031654357910157,14,1.0
v60/48,60,935,0.5282485875706214,14.872222222222224,0.14760374050263003,9,0.008244037628173828,9,1.0,0.008577108383178711,9,1.0,0.20707464218139648,9,1.0,0.45496430397033694,9,1.0
v60/49,60,1742,0.984180790960452,1.7622222222222157,0.953156049094097,43,0.11388301849365234,43,1.0,0.03391623497009277,43,1.0,0.13696107864379883,43,1.0,0.011627674102783203,43,1.0
v60/50,60,154,0.08700564971751412,5.048888888888887,0.0006721215663354764,3,0.00019311904907226562,3,1.0,0.0010690689086914062,3,1.0,0.09356136322021484,3,1.0,0.0006821870803833008,3,1.0
v60/51,60,1765,0.9971751412429378,1.172222222222218,0.9915546464056108,56,0.0009720325469970703,56,1.0,0.04812312126159668,56,1.0,0.05702006816864014,56,1.0,0.0025777339935302733,56,1.0
v60/52,60,384,0.21694915254237288,9.460000000000003,0.010344827586206896,5,0.0006861686706542969,5,1.0,0.001911163330078125,5,1.0,0.22622861862182617,5,1.0,0.21039738655090331,5,1.0
v60/53,60,679,0.38361581920903953,11.698888888888895,0.05499707773232028,6,0.0021669864654541016,6,1.0,0.006798982620239258,6,1.0,0.19525496959686278,6,1.0,0.14843976497650146,6,1.0
v60/54,60,1478,0.8350282485875706,9.29555555555556,0.5821157218001168,18,0.40337204933166504,18,1.0,0.10471773147583008,18,1.0,0.22396974563598632,18,1.0,0.18022842407226564,18,1.0
v60/55,60,1768,0.9988700564971752,1.062222222222229,0.9966101694915255,58,0.0009288787841796875,58,1.0,0.05069422721862793,58,1.0,0.02333829402923584,58,1.0,6.437301635742188e-07,58,1.0
v60/56,60,1654,0.9344632768361582,5.415555555555557,0.816656925774401,29,0.8719050884246826,29,1.0,0.46301698684692383,29,1.0,0.21406939029693603,29,1.0,0.049331498146057126,29,1.0
v60/57,60,1528,0.8632768361581921,5.99555555555556,0.6418176504967855,20,0.6793546676635742,20,1.0,0.21849608421325684,20,1.0,0.2705547332763672,20,1.0,0.5437126159667969,20,1.0
v60/58,60,1629,0.9203389830508475,6.476666666666671,0.7805084745762711,28,1.5093278884887695,28,1.0,0.1313331127166748,28,1.0,0.34150984287261965,28,1.0,0.9730920314788818,28,1.0
v60/59,60,1701,0.9610169491525423,2.9099999999999966,0.8872881355932203,34,1.4731550216674805,34,1.0,0.10811185836791992,34,1.0,0.17556703090667725,34,1.0,0.03034663200378418,34,1.0
v60/60,60,1623,0.9169491525423729,5.556666666666662,0.7710695499707774,26,1.562013864517212,26,1.0,0.3841841220855713,26,1.0,0.2462461471557617,26,1.0,0.12964510917663574,26,1.0
v60/61,60,1460,0.8248587570621468,10.522222222222222,0.5617767387492695,17,0.3768339157104492,17,1.0,0.21915197372436523,17,1.0,0.29402201175689696,17,1.0,2.7900995016098022,17,1.0
v60/62,60,1770,1.0,1.0,1.0,60,0.0008678436279296875,60,1.0,0.052854061126708984,60,1.0,0.022842025756835936,60,1.0,5.006790161132813e-07,60,1.0
v60/63,60,1265,0.7146892655367232,12.172222222222228,0.3645821157218001,12,0.06169605255126953,12,1.0,0.08154129981994629,12,1.0,0.21045053005218506,12,1.0,0.1428469181060791,12,1.0
v60/64,60,419,0.23672316384180792,10.298888888888891,0.013004091174751608,5,0.0007669925689697266,5,1.0,0.0022449493408203125,5,1.0,0.19070944786071778,5,1.0,0.047630834579467776,5,1.0
v60/65,60,1768,0.9988700564971752,1.062222222222229,0.9966101694915255,58,0.0008938312530517578,58,1.0,0.04952383041381836,58,1.0,0.023365998268127443,58,1.0,0.0005748510360717773,58,1.0
v60/66,60,365,0.2062146892655367,12.872222222222224,0.009322033898305085,5,0.0005748271942138672,5,1.0,0.0018169879913330078,5,1.0,0.16422762870788574,5,1.0,0.08235979080200195,5,1.0
v60/67,60,1668,0.9423728813559322,3.939999999999999,0.8366160140268849,31,1.6261718273162842,31,1.0,0.07335090637207031,31,1.0,0.3141250371932983,31,1.0,2.1307691097259522,31,1.0
v60/68,60,1093,0.6175141242937853,13.112222222222234,0.2347165400350672,10,0.020125865936279297,10,1.0,0.027698993682861328,10,1.0,0.24501252174377441,10,1.0,0.6674345254898071,10,1.0
v60/69,60,1565,0.884180790960452,7.1055555555555605,0.691437755698422,22,1.0362482070922852,22,1.0,0.8071737289428711,22,1.0,0.23823122978210448,22,1.0,0.17153594493865967,22,1.0
v60/70,60,381,0.21525423728813559,10.543333333333335,0.01005260081823495,4,0.0006377696990966797,4,1.0,0.002471923828125,4,1.0,0.09540338516235351,4,1.0,0.0037786245346069338,4,1.0
v60/71,60,1652,0.9333333333333333,4.795555555555547,0.8131209818819404,30,1.4021131992340088,30,1.0,0.09768795967102051,30,1.0,0.26900928020477294,30,1.0,0.3727800607681274,30,1.0
v60/72,60,415,0.2344632768361582,11.305555555555554,0.012478082992402105,4,0.0007698535919189453,4,1.0,0.0032050609588623047,4,1.0,0.08274250030517578,4,1.0,0.003724527359008789,4,1.0
v60/73,60,1761,0.9949152542372881,1.276666666666661,0.9848042080654588,53,0.0012688636779785156,53,1.0,0.04498600959777832,53,1.0,0.0802112102508545,53,1.0,0.006900382041931152,53,1.0
v60/74,60,1637,0.9248587570621469,4.412222222222213,0.7904441846873174,25,2.346958875656128,25,1.0,0.7442009449005127,25,1.0,0.211195707321167,25,1.0,0.04523916244506836,25,1.0
v60/75,60,303,0.1711864406779661,11.090000000000002,0.0054354178842782,4,0.00044798851013183594,4,1.0,0.0015857219696044922,4,1.0,0.13275561332702637,4,1.0,0.007911753654479981,4,1.0
v60/76,60,1661,0.9384180790960452,6.465555555555557,0.8279953243717124,32,0.8111510276794434,32,1.0,0.026108264923095703,32,1.0,0.22890000343322753,32,1.0,0.10316896438598633,32,1.0
v60/77,60,1732,0.9785310734463277,1.8955555555555519,0.936645236703682,41,0.37788891792297363,41,1.0,0.03263401985168457,41,1.0,0.20269579887390138,41,1.0,0.06695022583007812,41,1.0
v60/78,60,1758,0.9932203389830508,1.4399999999999957,0.9798363530099357,51,0.0017290115356445312,51,1.0,0.041619062423706055,51,1.0,0.05985755920410156,51,1.0,0.01051955223083496,51,1.0
